second,Volt,Volt
-5.8440E-03,+241.2060E-03,-241.2E-06
-5.8340E-03,+233.1658E-03,-643.2E-06
-5.8240E-03,+241.2060E-03,-321.6E-06
-5.8140E-03,+241.2060E-03,-562.8E-06
-5.8040E-03,+233.1658E-03,-402.0E-06
-5.7940E-03,+233.1658E-03,-562.8E-06
-5.7840E-03,+225.1256E-03,-160.8E-06
-5.7740E-03,+225.1256E-03,-241.2E-06
-5.7640E-03,+225.1256E-03,-562.8E-06
-5.7540E-03,+217.0854E-03,-482.4E-06
-5.7440E-03,+209.0452E-03,-562.8E-06
-5.7340E-03,+217.0854E-03,-241.2E-06
-5.7240E-03,+209.0452E-03,-402.0E-06
-5.7140E-03,+209.0452E-03,-723.6E-06
-5.7040E-03,+209.0452E-03,-402.0E-06
-5.6940E-03,+209.0452E-03,-80.4E-06
-5.6840E-03,+201.0050E-03,-402.0E-06
-5.6740E-03,+201.0050E-03,-402.0E-06
-5.6640E-03,+192.9648E-03,-241.2E-06
-5.6540E-03,+192.9648E-03,-643.2E-06
-5.6440E-03,+176.8844E-03,-643.2E-06
-5.6340E-03,+192.9648E-03,-241.2E-06
-5.6240E-03,+176.8844E-03,-482.4E-06
-5.6140E-03,+184.9246E-03,-562.8E-06
-5.6040E-03,+176.8844E-03,-562.8E-06
-5.5940E-03,+176.8844E-03,-321.6E-06
-5.5840E-03,+168.8442E-03,-482.4E-06
-5.5740E-03,+176.8844E-03,-643.2E-06
-5.5640E-03,+168.8442E-03,-321.6E-06
-5.5540E-03,+160.8040E-03,-723.6E-06
-5.5440E-03,+160.8040E-03,-482.4E-06
-5.5340E-03,+160.8040E-03,-562.8E-06
-5.5240E-03,+160.8040E-03,-321.6E-06
-5.5140E-03,+152.7638E-03,-562.8E-06
-5.5040E-03,+144.7236E-03,-321.6E-06
-5.4940E-03,+152.7638E-03,-643.2E-06
-5.4840E-03,+144.7236E-03,-643.2E-06
-5.4740E-03,+144.7236E-03,-402.0E-06
